per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
1,5,1,0,1,0,130683
1,5,1,0,1,1,146925
1,6,1,0,1,0,29811
1,6,1,0,1,1,33478
1,7,1,0,1,0,26788
1,7,1,0,1,1,30167
1,8,1,0,1,0,3846
1,8,1,0,1,1,4254
1,9,1,0,1,0,3657
1,9,1,0,1,1,3874
1,10,1,0,1,0,8964
1,10,1,0,1,1,10845
1,11,1,0,1,0,29589
1,11,1,0,1,1,30437
1,12,1,0,1,0,27306
1,12,1,0,1,1,27835
1,13,1,0,1,0,7258
1,13,1,0,1,1,7421
1,14,1,0,1,0,12099
1,14,1,0,1,1,12803
1,15,1,0,1,0,6938
1,15,1,0,1,1,9716
1,4,1,0,1,0,104466
1,4,1,0,1,1,117814
1,1,1,0,1,0,146376
1,1,1,0,1,1,164095
1,2,1,0,1,0,116565
1,2,1,0,1,1,130617
1,3,1,0,1,0,134277
1,3,1,0,1,1,151292
1,16,1,0,1,0,3023
1,16,1,0,1,1,3385
1,17,1,0,1,0,14996
1,17,1,0,1,1,19879
1,18,1,0,1,0,10306
1,18,1,0,1,1,14134
1,19,1,0,1,0,3642
1,19,1,0,1,1,4318
1,20,1,0,1,0,6860
1,20,1,0,1,1,6515
1,21,1,0,1,0,15693
1,21,1,0,1,1,17170
2,5,1,0,1,0,131244
2,5,1,0,1,1,147223
2,6,1,0,1,0,31217
2,6,1,0,1,1,33817
2,7,1,0,1,0,28203
2,7,1,0,1,1,30457
2,8,1,0,1,0,3908
2,8,1,0,1,1,4342
2,9,1,0,1,0,3490
2,9,1,0,1,1,3904
2,10,1,0,1,0,9023
2,10,1,0,1,1,10904
2,11,1,0,1,0,28570
2,11,1,0,1,1,30382
2,12,1,0,1,0,26223
2,12,1,0,1,1,27720
2,13,1,0,1,0,7150
2,13,1,0,1,1,7425
2,14,1,0,1,0,11580
2,14,1,0,1,1,12601
2,15,1,0,1,0,7524
2,15,1,0,1,1,9712
2,4,1,0,1,0,104282
2,4,1,0,1,1,117795
2,1,1,0,1,0,147079
2,1,1,0,1,1,164213
2,2,1,0,1,0,115862
2,2,1,0,1,1,130396
2,3,1,0,1,0,135499
2,3,1,0,1,1,151612
2,16,1,0,1,0,2806
2,16,1,0,1,1,3516
2,17,1,0,1,0,16015
2,17,1,0,1,1,20202
2,18,1,0,1,0,11251
2,18,1,0,1,1,14472
2,19,1,0,1,0,3902
2,19,1,0,1,1,4308
2,20,1,0,1,0,6059
2,20,1,0,1,1,6110
