This profile was last updated,Status,User ID,Name of Firm,"Trade Name (""Doing Business As ..."")",DUNS Number,Parent DUNS Number,"Address, line 1","Address, line 2",City,State,Zip,Phone Number,Fax Number,E-mail Address,WWW Page,E-Commerce Website,Contact Person,County Code (3 digit),Congressional District,Metropolitan Statistical Area,CAGE Code,Year Established,Accepts Government Credit Card?,GSA Advantage Contract(s)
04/26/2021,Active,P2602860,"TRAINED FOR CARE, CORP.",,117990138,,28 BRYANT RD,,CARMEL,NY,10512-5617,833-964-1011,,oyane@trainedforcare.com,,,Oyane  Jacques,079,18,5600,8ZGC9,2020,[  ] Yes [X] No,
05/13/2021,Active,P1704930,"MNS Pro Companies, Inc.",,078514224,,807 South Geddes Street,,Syracuse,NY,13204-3617,315-657-1846,,moe@mnsprocompanies.com,,,Moses Scoggins,067,24,8160,6UK94,2012,[X] Yes [  ] No,
08/25/2020,Active,P2499434,New Yorkers International LLC,,078791446,,8508 Astoria Blvd 1,,East Elmhurst,NY,11369-1656,347-566-1011,,impartialnyc@gmail.com,,,Nimer Dewan,081,14,5600,8PJP7,2011,[X] Yes [  ] No,
05/31/2021,Active,P2557651,Surge Streams Limited,,114059203,,248 Winthrop St,,Brooklyn,NY,11225-3812,347-233-7022,,737arobinson787@gmail.com,,http://surgestreams.com/,Asim Robinson,047,09,5600,8SER7,2018,[X] Yes [  ] No,
02/10/2021,Active,P2584073,Hi Color Inc,,117737154,,14598 Guy R Brewer Blvd,,Jamaica,NY,11434-5284,833-444-6257 x0         ,,hicolorinc@gmail.com,www.HiColor.com,,Sigh West,081,05,5600,8TFY2,2019,[X] Yes [  ] No,
06/18/2020,Active,P2404785,"Wyrestorm Technologies, LLC",,027559824,211448318,23 Wood Rd,,Round Lake,NY,12151-1708,518-289-1123,,don.seguin@wyrestorm.com,,,Donald P Seguin,091,20,0160,8DXD1,2011,[X] Yes [  ] No,
03/02/2021,Active,P2462351,"NEXUS CONSULTING GROUP NYC, INC",,045342346,,225 BROADWAY STE 2912,,NEW YORK,NY,10007-3077,212-242-4626 x201       ,,jimmy@NexusConsultingNYC.com,https://www.nexusconsultingnyc.com,,Jignesh Gandhi,061,10,5600,8KZE3,2011,[X] Yes [  ] No,
05/18/2021,Active,P2394551,"Bevo's Kitchen, LLC",,054502712,,13745 Belknap St Fl 1,,Springfield Gardens,NY,11413-2619,347-228-0820,,bevoskitchen9@yahoo.com,,,Gracia A Clery-Leonce,081,05,5600,8D6H9,2016,[X] Yes [  ] No,
06/19/2020,Active,P0893936,"Minoritech, Inc.",,604922757,,15 HYTEC CIR,,ROCHESTER,NY,14606-4255,585-247-1610 x114       ,585-247-5947,pmarcaida@minoritech.com,http://www.minoritech.com,,Patricia J Marcaida,055,25,6840,4V3N6,1988,[X] Yes [  ] No,
07/11/2020,Active,P2471455,Entre-nous LLC,,117153707,,775 St. Johns Pl,,Brooklyn,NY,11216-4274,347-819-8250,,sambajohn0113@yahoo.com,,,John D St. Louis,047,09,5600,8MUF4,2019,[  ] Yes [X] No,
11/04/2020,Active,P2349491,Ram Hospitality Inc,,616226432,,21 Schuyler Blvd,,Fishkill,NY,12524-2239,845-896-4001,845-896-7001,h.patel@expressfishkill.com,"https://www.ihg.com/holidayinnexpress/hotels/us/en/fishkill/fhkex/hoteldetail?qDest=Fishkill,%20New%20York,%20United%20States&qCiD=13&qCoD=14&qCiMy=112018&qCoMy=112018&qAdlt=1&qChld=0&qRms=1&qWch=0&qS",,Harsh Patel,027,18,2281,87WN5,2007,[X] Yes [  ] No,
03/26/2021,Active,P2453881,CFF Consulting Inc.,,080940162,,20945 45TH RD # 2,,Bayside,NY,11361-3233,718-344-4096,917-563-5009,FERNANDO@CFF.NYC,,,FERNANDO ALFONSO,081,06,5600,8K9M9,2006,[  ] Yes [X] No,
02/23/2021,Active,P2467846,"NYANSAPO IMPACT CAPITAL, LLC",Nyansapo,130190834,,1400 5TH AVE STE 8C,,NEW YORK,NY,10026-2584,646-549-8703,,info@nicafrica.com,,,Dana Reed,061,13,5600,8KYT4,2018,[  ] Yes [X] No,
11/16/2020,Active,P2559575,Rubbl Media Inc.,,117639643,,13530 234th St,,Rosedale,NY,11422-1507,516-725-8422,,ethomas@rubbl.media,,,Errol  Thomas,081,05,5600,8SJQ1,2019,[X] Yes [  ] No,
07/07/2020,Active,P2478307,J & GS RESTORATION INC,,034522487,,10829 Liverpool St,,Jamaica,NY,11435-5427,646-897-1513,,ny.construction1@yahoo.com,,,Sarbjit Singh,081,05,5600,8MN96,2001,[  ] Yes [X] No,
