Timestamp,Would you identify yourself as an Asian/Pacific Islander owned business?,Have you received any of the following pandemic assistance *check all that apply*,How much money in relief funds did you receive?,Do you still require additional  pandemic relief?,What additional resources do you believe are necessary for you at this time ?,What is the name of your business ? ,Where is your business located ?[ Please include full address] ,Have you experienced hate crime within the past year at your business ? ,If you experienced any hate crime did you report it ?,Are there any additional questions you have for us ?,What is the address of your business ?Please include full address,What borough are you guys located in ?,What zip-code are you located in ?,What industry are you in ?
6/15/2021 21:24:58,No,,,,,,,,,,,,,
6/18/2021 19:17:59,Yes,"PPP loan, SBA loan",12000,no,Financial Assistance,Banana King,,No,No,No,8415 60th drive,QUEENS,11379,
6/18/2021 19:25:51,No,SBA loan,"10,000",yes,Technology Assistance,TTD,,Yes,No,N/A,Ttd@gmail.com,BK,11208,
6/21/2021 18:50:31,Yes,I did not apply,"$3,000",yes,Financial Assistance,"Live Music, Inc",,Yes,No,It would be great to get technology assistance!,"23 Barnes Ave, Manhattan, NY",manhattan,10487,Food and Beverage
6/21/2021 21:23:22,No,"PPP loan, Economic Disaster Loan",20000,yes,Financial Assistance,Dunder Mifflin,,Yes,Yes,N/A,1725 Slough Avenue,Bronx,10451,Paper
6/22/2021 1:51:58,Yes,I did not apply,0,yes,Technology Assistance,Ka Wah Chinese ,,Yes,No,Is there anything I can do to improve my business ?,3053 Valentine Avenue ,Bronx ,10458,Food and Beverage
6/22/2021 1:54:13,No,"PPP loan, SBA loan","10,000",no,More Employees,LR Multiservices ,,Yes,Yes,Is this only for Asian business ?,2203 Martin Luther King Jr,Manhattan ,10024,Financial Services 
6/22/2021 1:57:40,No,I did apply and did not hear back,0,yes,Financial Assistance,Novelli's Pork Store ,,No,,What can we do to improve our business ?,3161 Amboy Rd #11 ,Staten Island ,10305,Retail Trade and Food Service
6/22/2021 1:59:52,Yes,I did apply and did not hear back,0,yes,More Employees,Fei Long Supermarket ,,No,,N/A,6301 8th Ave ,Brooklyn ,11200,Retail Trade and Food Service
6/22/2021 2:01:17,Yes,Economic Disaster Loan,"3,000",yes,Financial Assistance,Miss A Beauty Supply ,,Yes,Yes,N/A,612 E 187th St ,Bronx ,10458,Health and Personal Beauty
6/22/2021 2:03:00,No,SBA loan,"2,000",yes,Technology Assistance,Billy's Chimi Fritura ,,Yes,Yes,What are the next steps ?,2740 Webster Avenue,Bronx ,10458,Food and Beverage
6/22/2021 2:05:02,No,I did apply and did not hear back,0,yes,More Employees,Mystique Boutique ,,Yes,No,Where do we apply ?,491 Broadway Avenue ,Manhattan ,10013,Retail Trade
